"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify schema correctness and forecast integrity for city-based hourly lookups.

Issues a ``GET /forecast`` request (full URL: ``/v1/forecast``) with
both ``current_weather=true`` and ``hourly=temperature_2m``, then
validates the full response through
:class:`~validators.weather_schema.WeatherForecastSchema`. Asserts
that the current temperature is within the physically valid range of
-80 °C to 60 °C, that the hourly dataset contains at least one entry,
and that the ``timezone`` field is a non-empty string.

Args:
    api_client_fixture (ApiClient): Environment-scoped HTTP client
        provided by ``conftest.py``.
    city (dict): A single entry from ``test_data/cities.json``
        containing ``city``, ``latitude``, and ``longitude`` keys.

Returns:
    None

Raises:
    AssertionError: If schema validation fails or any of the
        temperature-range, hourly-count, or timezone assertions do
        not hold.
","893","test_forecast_by_city[Sydney]","tests","2026-05-20","passed","2026-05-20","TestWeather","test_weather","",""
"Verify schema correctness and forecast integrity for city-based hourly lookups.

Issues a ``GET /forecast`` request (full URL: ``/v1/forecast``) with
both ``current_weather=true`` and ``hourly=temperature_2m``, then
validates the full response through
:class:`~validators.weather_schema.WeatherForecastSchema`. Asserts
that the current temperature is within the physically valid range of
-80 °C to 60 °C, that the hourly dataset contains at least one entry,
and that the ``timezone`` field is a non-empty string.

Args:
    api_client_fixture (ApiClient): Environment-scoped HTTP client
        provided by ``conftest.py``.
    city (dict): A single entry from ``test_data/cities.json``
        containing ``city``, ``latitude``, and ``longitude`` keys.

Returns:
    None

Raises:
    AssertionError: If schema validation fails or any of the
        temperature-range, hourly-count, or timezone assertions do
        not hold.
","884","test_forecast_by_city[Lagos]","tests","2026-05-20","passed","2026-05-20","TestWeather","test_weather","",""
"Verify schema correctness and forecast integrity for city-based hourly lookups.

Issues a ``GET /forecast`` request (full URL: ``/v1/forecast``) with
both ``current_weather=true`` and ``hourly=temperature_2m``, then
validates the full response through
:class:`~validators.weather_schema.WeatherForecastSchema`. Asserts
that the current temperature is within the physically valid range of
-80 °C to 60 °C, that the hourly dataset contains at least one entry,
and that the ``timezone`` field is a non-empty string.

Args:
    api_client_fixture (ApiClient): Environment-scoped HTTP client
        provided by ``conftest.py``.
    city (dict): A single entry from ``test_data/cities.json``
        containing ``city``, ``latitude``, and ``longitude`` keys.

Returns:
    None

Raises:
    AssertionError: If schema validation fails or any of the
        temperature-range, hourly-count, or timezone assertions do
        not hold.
","916","test_forecast_by_city[Berlin]","tests","2026-05-20","passed","2026-05-20","TestWeather","test_weather","",""
"Verify schema correctness and data integrity for coordinate-based weather lookups.

Issues a ``GET /forecast`` request with ``current_weather=true`` and
asserts that the response passes full
:class:`~validators.weather_schema.WeatherSchema` validation, that the
returned coordinates fall within the expected grid-snapping tolerance,
and that all observation values are within physically valid ranges.

Args:
    api_client_fixture (ApiClient): Environment-scoped HTTP client
        provided by ``conftest.py``.
    location (dict): A single entry from ``test_data/coordinates.json``
        containing ``city``, ``latitude``, and ``longitude`` keys.

Returns:
    None

Raises:
    AssertionError: If schema validation fails or any physical-range
        or coordinate-tolerance assertion does not hold.
","894","test_current_weather_by_coordinates[New York]","tests","2026-05-20","passed","2026-05-20","TestWeather","test_weather","",""
"Verify schema correctness and result count for name-based lookups.

Issues a ``GET /name/{name}`` request and asserts that the response
list meets the configured minimum length and that the first result
passes full :class:`~validators.country_schema.CountrySchema`
validation with matching ``cca2``, ``region``, ``capital``, and
``population`` values.

Args:
    api_client_fixture (ApiClient): Environment-scoped HTTP client
        provided by ``conftest.py``.
    country (dict): A single entry from ``test_data/countries.json``
        containing ``name``, ``cca2``, and ``region`` keys.

Returns:
    None
","606","test_country_by_name[japan]","tests","2026-05-20","passed","2026-05-20","TestCountries","test_countries","",""
"Verify schema correctness and forecast integrity for city-based hourly lookups.

Issues a ``GET /forecast`` request (full URL: ``/v1/forecast``) with
both ``current_weather=true`` and ``hourly=temperature_2m``, then
validates the full response through
:class:`~validators.weather_schema.WeatherForecastSchema`. Asserts
that the current temperature is within the physically valid range of
-80 °C to 60 °C, that the hourly dataset contains at least one entry,
and that the ``timezone`` field is a non-empty string.

Args:
    api_client_fixture (ApiClient): Environment-scoped HTTP client
        provided by ``conftest.py``.
    city (dict): A single entry from ``test_data/cities.json``
        containing ``city``, ``latitude``, and ``longitude`` keys.

Returns:
    None

Raises:
    AssertionError: If schema validation fails or any of the
        temperature-range, hourly-count, or timezone assertions do
        not hold.
","906","test_forecast_by_city[Tokyo]","tests","2026-05-20","passed","2026-05-20","TestWeather","test_weather","",""
"Verify that ``/region/europe`` returns more than 40 countries.

Sends a ``GET /region/europe`` request and asserts the response list
contains more than 40 entries, confirming that the regional endpoint
returns a meaningful dataset rather than a truncated or empty result.

Args:
    api_client_fixture (ApiClient): Environment-scoped HTTP client
        provided by ``conftest.py``.

Returns:
    None

Raises:
    AssertionError: If the result count is 40 or fewer.
","894","test_europe_region_count","tests","2026-05-20","passed","2026-05-20","TestCountryApi","test_country_api","",""
"Verify schema correctness and data integrity for coordinate-based weather lookups.

Issues a ``GET /forecast`` request with ``current_weather=true`` and
asserts that the response passes full
:class:`~validators.weather_schema.WeatherSchema` validation, that the
returned coordinates fall within the expected grid-snapping tolerance,
and that all observation values are within physically valid ranges.

Args:
    api_client_fixture (ApiClient): Environment-scoped HTTP client
        provided by ``conftest.py``.
    location (dict): A single entry from ``test_data/coordinates.json``
        containing ``city``, ``latitude``, and ``longitude`` keys.

Returns:
    None

Raises:
    AssertionError: If schema validation fails or any physical-range
        or coordinate-tolerance assertion does not hold.
","907","test_current_weather_by_coordinates[Sydney]","tests","2026-05-20","passed","2026-05-20","TestWeather","test_weather","",""
"Verify that a lookup for a non-existent country name yields HTTP 404.

Sends a ``GET /name/zzz_nonexistent_country_xyz`` request. Because
:class:`~utils.api_client.ApiClient` calls
:meth:`~requests.Response.raise_for_status` internally, a 4xx response
surfaces as :exc:`requests.HTTPError`. The test asserts that the
embedded status code is exactly 404.

Args:
    api_client_fixture (ApiClient): Environment-scoped HTTP client
        provided by ``conftest.py``.

Returns:
    None

Raises:
    AssertionError: If the raised :exc:`requests.HTTPError` does not
        carry an HTTP 404 status code.
","642","test_nonexistent_country_returns_404","tests","2026-05-20","passed","2026-05-20","TestCountryApi","test_country_api","",""
"Verify schema integrity for alpha-code-based lookups.

Issues a ``GET /alpha/{cca2}`` request and asserts that the response
list meets the configured minimum length and that the first result
passes full :class:`~validators.country_schema.CountrySchema`
validation with non-empty ``currencies``, ``languages``, and ``name``
fields.

Args:
    api_client_fixture (ApiClient): Environment-scoped HTTP client
        provided by ``conftest.py``.
    country (dict): A single entry from ``test_data/countries.json``
        containing ``name``, ``cca2``, and ``region`` keys.

Returns:
    None
","635","test_country_by_alpha_code[AU]","tests","2026-05-20","passed","2026-05-20","TestCountries","test_countries","",""
